"compound","SMILES"
"C5H5NO8","C(=O)(N(=O)(=O))C(=O)C(OO)(C)OC(=O)"
"C6H5NO9","C(=O)(N(=O)(=O))C(=O)C(OO)(C)OC(=O)C(=O)"
"C6H5NO11","C(=O)(N(=O)(=O))C(=O)C(OO)(C)OC(=O)C(=O)(OO)"
"C6H4N2O13","C(=O)(N(=O)(=O))C(=O)C(OO)(C)OC(=O)C(=O)(OON(=O)(=O))"
"C5H5NO9","C(=O)(N(=O)(=O))C(=O)C(OO)(C)OOC(=O)"
"C6H5NO10","C(=O)(N(=O)(=O))C(=O)C(OO)(C)OOC(=O)C(=O)"
"C6H5NO10","C(=O)(N(=O)(=O))C(=O)C(OO)(C1(O))OOC1C(=O)"
"C4H3NO7","C(=O)(N(=O)(=O))C(=O)C(OO)C(=O)"
"C4H3NO8","C(=O)(N(=O)(=O))C(=O)C(OO)C(=O)(O)"
"C4H3NO9","C(=O)(N(=O)(=O))C(=O)C(OO)C(=O)(OO)"
"C7H7NO10","C(=O)(N(=O)(=O))C(=O)C(OO)C(=O)C(O)(C)C(=O)(O)"
"C7H7NO11","C(=O)(N(=O)(=O))C(=O)C(OO)C(=O)C(O)(C)C(=O)(OO)"
"C7H6N2O13","C(=O)(N(=O)(=O))C(=O)C(OO)C(=O)C(O)(C)C(=O)(OON(=O)(=O))"
"C5H5NO9","C(=O)(N(=O)(=O))C(=O)C(OO)C(=O)C(OO)"
"C4H4N2O9","C(=O)(N(=O)(=O))C(=O)C(OO)C(ON(=O)(=O))"
"C4H3NO8","C(=O)(N(=O)(=O))C(=O)C(OO)OC(=O)"
"C5H3NO9","C(=O)(N(=O)(=O))C(=O)C(OO)OC(=O)C(=O)"
"C5H3NO11","C(=O)(N(=O)(=O))C(=O)C(OO)OC(=O)C(=O)(OO)"
"C5H2N2O13","C(=O)(N(=O)(=O))C(=O)C(OO)OC(=O)C(=O)(OON(=O)(=O))"
"C6H4N2O12","C(=O)(N(=O)(=O))C(=O)C(OO)OC(=O)C(=O)C(ON(=O)(=O))"
"C6H5NO11","C(=O)(N(=O)(=O))C(=O)C(OO)OC(=O)C(=O)C(OO)"
"C5H4N2O11","C(=O)(N(=O)(=O))C(=O)C(OO)OC(=O)C(ON(=O)(=O))"
"C5H5NO10","C(=O)(N(=O)(=O))C(=O)C(OO)OC(=O)C(OO)"
"C4H3NO9","C(=O)(N(=O)(=O))C(=O)C(OO)OOC(=O)"
